Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteAssistenza,,,,2021-01-31 16:47:00,2021-01-31 16:48:19,"1m - 18,297s",PASSED
,,,,,,,
Test Cases/TC_A_1_1(2),,,,2021-01-31 16:47:03,2021-01-31 16:47:39,"35,925s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-01-31 16:47:04,2021-01-31 16:47:17,"13,931s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-01-31 16:47:17,2021-01-31 16:47:19,"2,006s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""a"")",,,,2021-01-31 16:47:19,2021-01-31 16:47:22,"2,882s",PASSED
"click(findWindowsObject(""Object Repository/AvantiAssistenza""))",,,,2021-01-31 16:47:22,2021-01-31 16:47:24,"1,304s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-01-31 16:47:24,2021-01-31 16:47:38,"14,033s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-01-31 16:47:38,2021-01-31 16:47:38,"0,635s",PASSED
"assert text == ""Inserire nome e cognome validi""",,,,2021-01-31 16:47:38,2021-01-31 16:47:38,"0,003s",PASSED
closeApplication(),,,,2021-01-31 16:47:38,2021-01-31 16:47:39,"0,173s",PASSED
,,,,,,,
Test Cases/TC_A_1_2,,,,2021-01-31 16:47:39,2021-01-31 16:48:19,"40,116s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-01-31 16:47:39,2021-01-31 16:47:51,"11,358s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-01-31 16:47:51,2021-01-31 16:47:53,"1,980s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""Franco Cirillo"")",,,,2021-01-31 16:47:53,2021-01-31 16:47:57,"4,208s",PASSED
"click(findWindowsObject(""Object Repository/IndirizzoAssistenza""))",,,,2021-01-31 16:47:57,2021-01-31 16:47:58,"1,405s",PASSED
"setText(findWindowsObject(""Object Repository/IndirizzoAssistenzaText""), ""V"")",,,,2021-01-31 16:47:58,2021-01-31 16:48:02,"3,785s",PASSED
"click(findWindowsObject(""Object Repository/AvantiAssistenza""))",,,,2021-01-31 16:48:02,2021-01-31 16:48:03,"1,350s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-01-31 16:48:03,2021-01-31 16:48:18,"14,470s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-01-31 16:48:18,2021-01-31 16:48:18,"0,667s",PASSED
"assert text == ""Inserire un indirizzo valido""",,,,2021-01-31 16:48:18,2021-01-31 16:48:18,"0,001s",PASSED
closeApplication(),,,,2021-01-31 16:48:18,2021-01-31 16:48:19,"0,189s",PASSED
