Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteMagazzino,,,,2021-02-01 13:33:58,2021-02-01 13:42:19,"8m - 21,053s",PASSED
,,,,,,,
Test Cases/TC_I_1_1,,,,2021-02-01 13:34:00,2021-02-01 13:34:49,"49,042s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:34:01,2021-02-01 13:34:14,"13,580s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:34:14,2021-02-01 13:34:16,"1,270s",PASSED
"setText(findWindowsObject(""Object Repository/NomeProdottoMagazzinoText""), ""P"")",,,,2021-02-01 13:34:16,2021-02-01 13:34:18,"2,342s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:34:18,2021-02-01 13:34:19,"1,126s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:34:19,2021-02-01 13:34:48,"29,111s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:34:48,2021-02-01 13:34:49,"0,570s",PASSED
"assert text == ""Inserisci un nome valido""",,,,2021-02-01 13:34:49,2021-02-01 13:34:49,"0,004s",PASSED
closeApplication(),,,,2021-02-01 13:34:49,2021-02-01 13:34:49,"0,143s",PASSED
,,,,,,,
Test Cases/TC_I_1_2,,,,2021-02-01 13:34:49,2021-02-01 13:35:41,"51,779s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:34:49,2021-02-01 13:35:00,"10,689s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:35:00,2021-02-01 13:35:01,"1,282s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:35:01,2021-02-01 13:35:04,"2,752s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:35:04,2021-02-01 13:35:05,"1,123s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""a"")",,,,2021-02-01 13:35:05,2021-02-01 13:35:08,"2,586s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:35:08,2021-02-01 13:35:09,"1,161s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:35:09,2021-02-01 13:35:40,"30,989s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:35:40,2021-02-01 13:35:41,"0,510s",PASSED
"assert text == ""Inserisci una quantità positiva""",,,,2021-02-01 13:35:41,2021-02-01 13:35:41,"0,002s",PASSED
closeApplication(),,,,2021-02-01 13:35:41,2021-02-01 13:35:41,"0,137s",PASSED
,,,,,,,
Test Cases/TC_I_1_3,,,,2021-02-01 13:35:41,2021-02-01 13:36:36,"54,851s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:35:41,2021-02-01 13:35:52,"10,573s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:35:52,2021-02-01 13:35:53,"1,289s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:35:53,2021-02-01 13:35:56,"2,642s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:35:56,2021-02-01 13:35:57,"1,084s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""0"")",,,,2021-02-01 13:35:57,2021-02-01 13:35:59,"2,593s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:35:59,2021-02-01 13:36:01,"1,144s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:36:01,2021-02-01 13:36:35,"34,278s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:36:35,2021-02-01 13:36:35,"0,510s",PASSED
"assert text == ""Inserisci una quantità positiva""",,,,2021-02-01 13:36:35,2021-02-01 13:36:35,"0,000s",PASSED
closeApplication(),,,,2021-02-01 13:36:35,2021-02-01 13:36:36,"0,155s",PASSED
,,,,,,,
Test Cases/TC_I_1_4,,,,2021-02-01 13:36:36,2021-02-01 13:37:30,"54,141s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:36:36,2021-02-01 13:36:46,"10,253s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:36:46,2021-02-01 13:36:48,"1,257s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:36:48,2021-02-01 13:36:50,"2,718s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:36:50,2021-02-01 13:36:51,"1,073s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:36:51,2021-02-01 13:36:54,"2,821s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:36:54,2021-02-01 13:36:55,"1,106s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""123456"")",,,,2021-02-01 13:36:55,2021-02-01 13:36:58,"2,760s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:36:58,2021-02-01 13:36:59,"1,082s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:36:59,2021-02-01 13:37:29,"29,996s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:37:29,2021-02-01 13:37:30,"0,500s",PASSED
"assert text == ""Inserisci un codice prodotto valido (13 cifre)""",,,,2021-02-01 13:37:30,2021-02-01 13:37:30,"0,001s",PASSED
closeApplication(),,,,2021-02-01 13:37:30,2021-02-01 13:37:30,"0,095s",PASSED
,,,,,,,
Test Cases/TC_I_1_6,,,,2021-02-01 13:37:30,2021-02-01 13:38:34,"1m - 4,703s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:37:30,2021-02-01 13:37:41,"10,368s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:37:41,2021-02-01 13:37:42,"1,451s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:37:42,2021-02-01 13:37:45,"3,479s",PASSED
