Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteLogin,,,,2021-02-02 16:22:03,2021-02-02 16:25:00,"2m - 56,921s",PASSED
,,,,,,,
Test Cases/TC_U_1_1,,,,2021-02-02 16:22:05,2021-02-02 16:24:17,"2m - 12,143s",PASSED
"startApplicationWithTitle(""C:\Users\vinny\Documents\GitHub\NewDM\JAVA\NewDMApp\out\artifacts\NewDMApp\bundles\NewDMApp\NewDMApp.exe"", """")",,,,2021-02-02 16:22:06,2021-02-02 16:22:09,"3,698s",PASSED
"click(findWindowsObject(""Magazzino""))",,,,2021-02-02 16:22:09,2021-02-02 16:22:10,"1,093s",PASSED
"click(findWindowsObject(""CodUtenteLogIn""))",,,,2021-02-02 16:22:10,2021-02-02 16:22:11,"0,889s",PASSED
"setText(findWindowsObject(""CodUtenteLogInText""), ""utente"")",,,,2021-02-02 16:22:11,2021-02-02 16:22:13,"2,190s",PASSED
"click(findWindowsObject(""AccediLogIn""))",,,,2021-02-02 16:22:13,2021-02-02 16:22:14,"0,909s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-02 16:22:14,2021-02-02 16:24:16,"2m - 1,843s",PASSED
"text = getText(findWindowsObject(""MessaggioErrore""))",,,,2021-02-02 16:24:16,2021-02-02 16:24:17,"0,550s",PASSED
"assert text == ""Utente non trovato
Controlla username e password""",,,,2021-02-02 16:24:17,2021-02-02 16:24:17,"0,002s",PASSED
closeApplication(),,,,2021-02-02 16:24:17,2021-02-02 16:24:17,"0,134s",PASSED
,,,,,,,
Test Cases/TC_U_1_2,,,,2021-02-02 16:24:17,2021-02-02 16:24:49,"31,908s",PASSED
"startApplicationWithTitle(""C:\Users\vinny\Documents\GitHub\NewDM\JAVA\NewDMApp\out\artifacts\NewDMApp\bundles\NewDMApp\NewDMApp.exe"", """")",,,,2021-02-02 16:24:17,2021-02-02 16:24:19,"1,666s",PASSED
"click(findWindowsObject(""Magazzino""))",,,,2021-02-02 16:24:19,2021-02-02 16:24:20,"0,972s",PASSED
"click(findWindowsObject(""CodUtenteLogIn""))",,,,2021-02-02 16:24:20,2021-02-02 16:24:21,"0,937s",PASSED
"setText(findWindowsObject(""CodUtenteLogInText""), ""cirofu"")",,,,2021-02-02 16:24:21,2021-02-02 16:24:23,"2,026s",PASSED
"click(findWindowsObject(""PasswordLogIn""))",,,,2021-02-02 16:24:23,2021-02-02 16:24:24,"0,871s",PASSED
"setText(findWindowsObject(""PasswordLogInText""), ""ciao"")",,,,2021-02-02 16:24:24,2021-02-02 16:24:26,"1,939s",PASSED
"click(findWindowsObject(""AccediLogIn""))",,,,2021-02-02 16:24:26,2021-02-02 16:24:27,"0,878s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-02 16:24:27,2021-02-02 16:24:48,"21,410s",PASSED
"text = getText(findWindowsObject(""MessaggioErrore""))",,,,2021-02-02 16:24:48,2021-02-02 16:24:49,"0,572s",PASSED
"assert text == ""Utente non trovato
Controlla username e password""",,,,2021-02-02 16:24:49,2021-02-02 16:24:49,"0,001s",PASSED
closeApplication(),,,,2021-02-02 16:24:49,2021-02-02 16:24:49,"0,146s",PASSED
,,,,,,,
Test Cases/TC_U_1_3,,,,2021-02-02 16:24:49,2021-02-02 16:25:00,"11,177s",PASSED
"startApplicationWithTitle(""C:\Users\vinny\Documents\GitHub\NewDM\JAVA\NewDMApp\out\artifacts\NewDMApp\bundles\NewDMApp\NewDMApp.exe"", """")",,,,2021-02-02 16:24:49,2021-02-02 16:24:51,"1,653s",PASSED
"click(findWindowsObject(""Magazzino""))",,,,2021-02-02 16:24:51,2021-02-02 16:24:52,"0,962s",PASSED
"click(findWindowsObject(""CodUtenteLogIn""))",,,,2021-02-02 16:24:52,2021-02-02 16:24:53,"0,867s",PASSED
"setText(findWindowsObject(""CodUtenteLogInText""), ""cirofu"")",,,,2021-02-02 16:24:53,2021-02-02 16:24:55,"2,053s",PASSED
"click(findWindowsObject(""PasswordLogIn""))",,,,2021-02-02 16:24:55,2021-02-02 16:24:56,"0,875s",PASSED
"setText(findWindowsObject(""PasswordLogInText""), ""cirofu"")",,,,2021-02-02 16:24:56,2021-02-02 16:24:58,"2,094s",PASSED
"click(findWindowsObject(""AccediLogIn""))",,,,2021-02-02 16:24:58,2021-02-02 16:24:59,"0,874s",PASSED
"text = getText(findWindowsObject(""DashboardMagazzinoLabel""))",,,,2021-02-02 16:24:59,2021-02-02 16:25:00,"1,055s",PASSED
"assert text == ""Dashboard - Magazzino""",,,,2021-02-02 16:25:00,2021-02-02 16:25:00,"0,002s",PASSED
closeApplication(),,,,2021-02-02 16:25:00,2021-02-02 16:25:00,"0,223s",PASSED
